Doc-ID,Token-Count,Sentence-Count,Initial-Cas-bytes
10014125,63,3,11579
10017866,276,14,30578
1002713,177,8,21694
1004112,125,6,17123
100423652,178,6,21801
10044172,127,4,17073
10044607,231,9,26721
100497,79,3,12979
1006418,243,9,27404
10070775,131,4,17489
10072577,116,5,16292
10081694,185,6,22388
10091617,245,9,27815
10093253,101,4,14948
10094081,190,8,22831
10107286,162,6,20375
1010805,163,6,20371
1011772,201,8,23862
1012721,176,6,21543
10127298,64,3,11679
10134158,211,6,24655
10135705,124,4,16871
101421295,106,5,15483
10144759,190,8,22961
1014802,198,7,23625
1014825,215,6,24892
10152729,165,7,20681
10156635,218,8,25218
10159287,106,5,15574
10165156,224,8,25630
10167383,90,8,14037
10168989,154,8,19801
10171808,458,14,47080
10171821,97,4,14582
10171985,103,4,15112
10172487,335,12,36080
10177845,127,4,17148
10185510,182,5,22084
10193109,113,4,15927
10198623,214,10,25221
10200947,131,8,17848
10211404,188,10,22973
10224116,91,4,14016
10233259,196,7,23186
102339514,90,3,13910
102341115,148,8,19263
102341407,232,9,26766
102342496,949,16,88597
102351344,140,4,18247
102353581,190,5,22829
102353929,54,2,10736
102354010,312,9,33636
1024549,178,8,21837
102480797,228,6,25658
102481853,173,7,21267
102484,235,10,27172
102484515,188,7,22616
102493519,223,7,25799
10256595,190,7,22853
1026427,149,5,19144
10269944,151,8,19547
10274094,177,8,21665
10274320,123,5,16963
10274659,200,12,24110
10277022,160,6,20236
1029057,69,2,12009
10295949,198,10,23632
10300580,117,6,16347
10302988,214,9,25174
1030752,79,3,12900
10320150,228,8,26179
10324700,164,7,20526
10324701,27,3,8477
10330246,141,7,18671
10332682,35,2,9096
10335294,252,7,28275
10337217,105,4,15311
10341414,54,2,10742
10341769,119,5,16570
10343003,238,12,27062
10353996,115,4,16129
10359228,73,3,12441
10364228,166,6,20661
10373542,70,2,12045
10376327,110,4,15784
10380680,117,6,16441
10389042,218,7,25376
1039694,181,7,22006
10398268,114,5,16209
10401513,234,6,26699
1041246,57,2,10930
10415942,166,7,20797
10451651,137,6,18193
10460491,115,6,16229
10460884,221,10,25966
10477808,161,8,20521
1048229,117,5,16388
10493675,228,10,26222
1049528,309,12,33598
10503478,174,7,21518
10503488,199,5,23238
10507725,104,3,15045
105178,157,5,19885
1052788,373,10,39056
10543545,316,8,33620
1055442,222,10,25663
10559378,110,4,15710
10560350,177,7,21750
10563757,280,11,31118
10564328,132,5,17645
10567023,174,5,21262
1057223,92,4,14199
105760,298,11,32554
10581296,154,8,19698
10581424,86,4,13585
1059107,164,6,20333
1059781,68,3,11879
10609495,254,12,28792
10610626,246,7,27648
10613364,228,11,26591
10621178,113,6,16145
10623142,185,8,22510
1062714,182,9,22400
10631139,135,4,17913
10636091,110,5,15744
10639600,94,3,14278
106453467,209,6,24609
10645775,53,2,10666
106471102,54,3,10776
106475992,481,79,53946
106547505,35,1,9056
106567838,378,24,40329
10661999,163,7,20533
106678110,156,23,20911
1066952,214,10,25277
10670774,297,13,32885
106730721,508,55,53874
10679814,119,6,16617
106815063,33,1,8937
1068254,230,7,26509
106877364,446,46,47927
106890787,117,3,16323
10695898,254,6,27592
10700759,148,5,18971
107032299,92,4,14168
10705348,219,7,25447
107103841,48,1,10145
10711947,285,12,31787
107197731,22,1,7920
107229530,169,5,20754
10725931,199,8,23624
10740824,126,6,17310
10742440,135,4,17841
10742828,226,8,25904
10745411,50,1,10260
1074927,230,8,26485
10750773,210,7,24485
10758575,127,4,17206
107595149,118,5,16584
10772616,86,4,13647
10773661,241,10,27528
107767,194,9,23424
1078080,343,13,36663
107901124,43,8,10194
10792396,127,5,17189
10801956,152,7,19680
1080554,171,6,21238
108094652,121,4,16568
10815496,176,7,21512
10818162,173,5,21147
10818431,80,4,13084
10818775,80,2,12944
10826200,88,4,13851
10826685,180,5,21807
108292740,263,10,29715
108292833,267,10,30048
108318623,151,8,19595
10832310,206,12,24605
108335176,200,6,23688
108340239,238,9,27204
108346555,133,6,17895
10834815,65,3,11688
108356460,310,8,33649
108359596,157,4,19668
108369368,257,9,28874
108380904,207,5,24158
108385069,217,8,25356
108385680,176,8,21689
108393727,208,8,24738
108396733,194,9,23416
108399900,175,8,21499
108410359,133,2,17323
108455355,72,3,12339
108527629,85,3,13487
108531800,95,16,15042
10858229,55,2,10871
10859613,211,6,24448
10862213,57,3,11054
10862852,128,4,17290
1086356,255,10,28593
10873244,185,8,22504
108742288,184,9,22366
108791503,64,2,11550
108795321,64,2,11610
108798362,131,4,17472
1089100,44,1,9701
108918964,122,6,16803
10893419,63,2,11456
10896296,119,7,16678
10910334,47,3,10210
10916440,327,8,34861
10929120,44,3,9926
1092913,148,6,19171
109300535,98,3,14558
109345505,66,3,11792
109394441,101,3,14844
109431386,74,1,12463
109502503,83,4,13411
10952401,279,8,30585
109594103,362,18,38693
109661310,260,4,28843
109670727,96,5,14539
109752709,131,7,17640
109755048,19,1,7707
109756713,217,7,25155
109757000,58,2,10995
109760728,60,3,11288
109761236,173,8,21340
10976365,130,10,17734
109767252,32,2,8861
109772918,144,6,18807
109773664,125,4,16936
109774203,108,5,15685
109775730,214,8,25158
