record_id,source_type,abstract_id,abstract_uri,weak_labels,weak_tactics,derived_category,derived_severity,category_rule,severity_rule,unknown_labels,label_count,tactic_count
abstract_7345,ontology_abstract,7345,http://example.org/abstract7345,cyberattack; dataprotection; digitalsecurity,Data_Loss_Prevention; Digital_Asset_Protection; Threat_Hunting,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,3,3
abstract_8758,ontology_abstract,8758,http://example.org/abstract8758,privacy,Access_Control,Data Breach,Medium,single_category,max_severity_rule,,1,1
abstract_12673,ontology_abstract,12673,http://example.org/abstract12673,cyberattack; cybertraining; dataprotection; digitalsecurity; privacy,Access_Control; Data_Loss_Prevention; Digital_Asset_Protection; Security_Awareness_Training; Threat_Hunting,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,5,5
abstract_20231,ontology_abstract,20231,http://example.org/abstract20231,privacy,Access_Control,Data Breach,Medium,single_category,max_severity_rule,,1,1
abstract_24789,ontology_abstract,24789,http://example.org/abstract24789,networksecurity; privacy,Access_Control; Network_Segmentation,Network Attacks,Medium,multi_category_priority_rule,max_severity_rule,,2,2
abstract_26283,ontology_abstract,26283,http://example.org/abstract26283,cyberattack; dataprotection; digitalsecurity,Data_Loss_Prevention; Digital_Asset_Protection; Threat_Hunting,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,3,3
abstract_30896,ontology_abstract,30896,http://example.org/abstract30896,dataprotection; digitalsecurity,Data_Loss_Prevention; Digital_Asset_Protection,Data Breach,Medium,single_category,max_severity_rule,,2,2
abstract_32048,ontology_abstract,32048,http://example.org/abstract32048,cyberthreat; dataprotection; digitalsecurity; privacy,Access_Control; Data_Loss_Prevention; Digital_Asset_Protection; Threat_Intelligence,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,4,4
abstract_55004,ontology_abstract,55004,http://example.org/abstract55004,cyberattack; dataprotection; digitalsecurity,Data_Loss_Prevention; Digital_Asset_Protection; Threat_Hunting,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,3,3
abstract_55277,ontology_abstract,55277,http://example.org/abstract55277,cyberthreat; dataprotection; privacy,Access_Control; Data_Loss_Prevention; Threat_Intelligence,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,3,3
abstract_56900,ontology_abstract,56900,http://example.org/abstract56900,dataprotection,Data_Loss_Prevention,Data Breach,Medium,single_category,max_severity_rule,,1,1
abstract_57028,ontology_abstract,57028,http://example.org/abstract57028,,,Uncategorized,Unknown,no_label_in_taxonomy,no_label_in_taxonomy,,0,0
abstract_57409,ontology_abstract,57409,http://example.org/abstract57409,cyberthreat; dataprotection; digitalsecurity,Data_Loss_Prevention; Digital_Asset_Protection; Threat_Intelligence,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,3,3
abstract_61834,ontology_abstract,61834,http://example.org/abstract61834,dataprotection,Data_Loss_Prevention,Data Breach,Medium,single_category,max_severity_rule,,1,1
abstract_62063,ontology_abstract,62063,http://example.org/abstract62063,dataprotection; digitalsecurity; privacy,Access_Control; Data_Loss_Prevention; Digital_Asset_Protection,Data Breach,Medium,single_category,max_severity_rule,,3,3
abstract_62930,ontology_abstract,62930,http://example.org/abstract62930,dataprotection; digitalsecurity,Data_Loss_Prevention; Digital_Asset_Protection,Data Breach,Medium,single_category,max_severity_rule,,2,2
abstract_75124,ontology_abstract,75124,http://example.org/abstract75124,networksecurity,Network_Segmentation,Network Attacks,Medium,single_category,max_severity_rule,,1,1
abstract_75883,ontology_abstract,75883,http://example.org/abstract75883,networksecurity,Network_Segmentation,Network Attacks,Medium,single_category,max_severity_rule,,1,1
abstract_76758,ontology_abstract,76758,http://example.org/abstract76758,cyberattack; cyberthreat; dataprotection,Data_Loss_Prevention; Threat_Hunting; Threat_Intelligence,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,3,3
abstract_77311,ontology_abstract,77311,http://example.org/abstract77311,dataprotection,Data_Loss_Prevention,Data Breach,Medium,single_category,max_severity_rule,,1,1
abstract_81208,ontology_abstract,81208,http://example.org/abstract81208,networksecurity,Network_Segmentation,Network Attacks,Medium,single_category,max_severity_rule,,1,1
abstract_83558,ontology_abstract,83558,http://example.org/abstract83558,cyberthreat; digitalsecurity,Digital_Asset_Protection; Threat_Intelligence,Network Attacks,High,multi_category_priority_rule,max_severity_rule,,2,2
abstract_85932,ontology_abstract,85932,http://example.org/abstract85932,networksecurity; privacy,Access_Control; Network_Segmentation,Network Attacks,Medium,multi_category_priority_rule,max_severity_rule,,2,2
abstract_86408,ontology_abstract,86408,http://example.org/abstract86408,dataprotection,Data_Loss_Prevention,Data Breach,Medium,single_category,max_severity_rule,,1,1
abstract_93398,ontology_abstract,93398,http://example.org/abstract93398,networksecurity,Network_Segmentation,Network Attacks,Medium,single_category,max_severity_rule,,1,1
