record_id,abstract_id,abstract_uri,weak_labels,weak_category,priority_reason,queue_status,created_at_utc
abstract_7345,7345,http://example.org/abstract7345,cyberattack; dataprotection; digitalsecurity,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_8758,8758,http://example.org/abstract8758,privacy,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_12673,12673,http://example.org/abstract12673,cyberattack; cybertraining; dataprotection; digitalsecurity; privacy,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_20231,20231,http://example.org/abstract20231,privacy,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_24789,24789,http://example.org/abstract24789,networksecurity; privacy,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_26283,26283,http://example.org/abstract26283,cyberattack; dataprotection; digitalsecurity,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_30896,30896,http://example.org/abstract30896,dataprotection; digitalsecurity,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_32048,32048,http://example.org/abstract32048,cyberthreat; dataprotection; digitalsecurity; privacy,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_55277,55277,http://example.org/abstract55277,cyberthreat; dataprotection; privacy,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_56900,56900,http://example.org/abstract56900,dataprotection,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_57028,57028,http://example.org/abstract57028,,Uncategorized,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_57409,57409,http://example.org/abstract57409,cyberthreat; dataprotection; digitalsecurity,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_61834,61834,http://example.org/abstract61834,dataprotection,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_62063,62063,http://example.org/abstract62063,dataprotection; digitalsecurity; privacy,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_62930,62930,http://example.org/abstract62930,dataprotection; digitalsecurity,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_75124,75124,http://example.org/abstract75124,networksecurity,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_75883,75883,http://example.org/abstract75883,networksecurity,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_76758,76758,http://example.org/abstract76758,cyberattack; cyberthreat; dataprotection,Network Attacks,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
abstract_77311,77311,http://example.org/abstract77311,dataprotection,Data Breach,future_manual_validation_pool,BACKLOG,2026-03-21T20:07:08.886069+00:00
