record_id,scenario_id,manual_value,matched_labels,weak_labels,scenario_expected_labels,review_priority,review_reason
abstract_10044607,advanced_1,1,cyberattack,cyberattack;cyberawareness;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10091617,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_1012721,advanced_1,1,cyberattack,cyberattack;cybersecurity;digitalsecurity;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10127298,advanced_1,1,cyberthreat,cyberthreat;dataprotection;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10165156,advanced_1,1,cyberattack,cyberattack;cyberworld;dataprotection,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10171808,advanced_1,1,cyberattack,cyberattack;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10171821,advanced_1,1,cyberthreat,cyberthreat;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10198623,advanced_1,1,cyberattack,cyberattack;dataprotection,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10200947,advanced_1,1,cyberthreat,cyberawareness;cyberthreat;digitalsecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10211404,advanced_1,1,cyberattack,cyberattack;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_102353581,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_102484515,advanced_1,1,cyberattack,cyberattack;digitalsecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_1030752,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10324700,advanced_1,1,cyberthreat,cyberthreat;digitalsecurity;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10341769,advanced_1,1,cyberattack,cyberattack;dataprotection;digitalsecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10343003,advanced_1,1,cyberattack,cyberattack;cyberdefense;cybertraining,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10364228,advanced_1,1,cyberattack,cyberattack;cyberawareness;cybersecurity;dataprotection;digitalsecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10389042,advanced_1,1,cyberattack,cyberattack;cybersecurity;malware;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10398268,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10451651,advanced_1,1,cyberthreat,cybersecurity;cyberthreat;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10460884,advanced_1,1,cyberattack,cyberattack;cyberworld;dataprotection;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_1048229,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10503478,advanced_1,1,cyberattack,cyberattack;dataprotection;digitalsecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_1055442,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10559378,advanced_1,1,cyberattack,cyberattack;cyberawareness;cybersecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10560350,advanced_1,1,cyberthreat,cyberawareness;cybersecurity;cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10564328,advanced_1,1,cyberattack,cyberattack;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_1059107,advanced_1,1,cyberthreat,cyberthreat;dataprotection,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10623142,advanced_1,1,cyberattack,cyberattack;malware;networksecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10631139,advanced_1,1,cyberthreat,cyberthreat;dataprotection;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10645775,advanced_1,1,cyberthreat,cyberawareness;cyberthreat;cyberworld,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10670774,advanced_1,1,cyberattack,cyberattack;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10705348,advanced_1,1,cyberattack,cyberattack;cybersecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10711947,advanced_1,1,cyberthreat,cyberthreat;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10725931,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10742440,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_107595149,advanced_1,1,cyberthreat,cyberawareness;cybercrime;cyberthreat;networksecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10818162,advanced_1,1,cyberthreat,cyberthreat;malware,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10818775,advanced_1,1,cyberattack,cyberattack;cybertraining;digitalsecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108292740,advanced_1,1,cyberattack,cyberattack;digitalsecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108318623,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108335176,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108340239,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108369368,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108380904,advanced_1,1,cyberattack,cyberattack;dataprotection;digitalsecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108385069,advanced_1,1,cyberattack,cyberattack;cybersecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108385680,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108393727,advanced_1,1,cyberattack,cloudsecurity;cyberattack;cyberawareness;cybersecurity;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108396733,advanced_1,1,cyberattack,cyberattack;cyberdefense;cyberworld;malware;networksecurity;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108410359,advanced_1,1,cyberattack,cyberattack;cyberdefense;dataprotection,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108527629,advanced_1,1,cyberattack,cyberattack,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10858229,advanced_1,1,cyberattack,cyberattack;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10859613,advanced_1,1,cyberattack,cyberattack;dataprotection;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_10862852,advanced_1,1,cyberattack,cyberattack;cybersecurity;digitalsecurity;networksecurity,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_1086356,advanced_1,1,cyberthreat,cyberawareness;cyberthreat;cyberworld;privacy,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108742288,advanced_1,1,cyberthreat,cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
abstract_108791503,advanced_1,1,cyberthreat,cybersecurity;cyberthreat,cyberattack;cyberthreat;phishing,2,autofill_positive_from_weak_label_overlap
