record_id,kw::advanced,kw::confidential,kw::criminal,kw::cybercrime,kw::data,kw::database,kw::dlp,kw::exfiltration,kw::fraud,kw::insider,kw::leak,kw::personal data,kw::pii,kw::privacy,kw::records,kw::sensitive information,kw::threat,kw::with,keyword_hit_count,pred_keyword_search
abstract_7345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_8758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_12673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_20231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_24789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_26283,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1
abstract_30896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_32048,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
abstract_55004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_55277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_56900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_57028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_57409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_61834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_62063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_62930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_75124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_75883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_76758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_77311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_81208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_83558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_85932,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,1
abstract_86408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_93398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_100497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_102484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_105178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
abstract_105760,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_107767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_110062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_112805,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
abstract_124965,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
abstract_125681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_125798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_126532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_131431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
abstract_139518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_145727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_152796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_155578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
abstract_158549,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
abstract_161958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_166514,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
abstract_178099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_179696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_179903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_187552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
abstract_188978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_189003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_194313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_196911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_197613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_203532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
abstract_206431,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
abstract_206802,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
abstract_209924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_214226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
abstract_214766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_216746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_220283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_224794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_227271,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1
abstract_228784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_233495,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
abstract_242525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_248471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_259612,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1
abstract_260063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_264076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_265164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_266970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_270227,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1
abstract_271065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_272502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_272817,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_283902,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_289350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_294511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_300512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_301309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_308142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
abstract_318378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_319025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_319040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_339829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_346983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_348268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_351021,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1
abstract_351844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_361033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_364997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_376632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_385977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
abstract_389459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_401220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_406676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_414030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_416447,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
abstract_419247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_423138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_423247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_423925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_425273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_425600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
abstract_428625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_438843,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1
abstract_442686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_444195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_449740,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_452479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
abstract_452693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_453110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_458436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_459117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_459370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
abstract_462949,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_463579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_474136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_478681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_479319,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,5,1
abstract_482320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_486330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
abstract_488019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_494460,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,5,1
abstract_500731,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1
abstract_502788,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
abstract_511166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
abstract_518626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_528368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_531059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_532714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_535188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_538227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
abstract_540396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_544753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_554404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_559609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_572549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_583369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_588144,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1
abstract_588460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_588930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_589685,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1
abstract_596506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_601885,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1
abstract_610710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_611815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_617939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_625508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
abstract_628440,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_634260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_635279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_652820,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1
abstract_653950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_657888,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,5,1
abstract_659923,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_662506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_668470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_669211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abstract_675868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_676224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_679450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_700126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_702283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_703689,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
abstract_707333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_707627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_709348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_723001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_727236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1
abstract_727548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_730373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_732920,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1
abstract_736539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_737289,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1
abstract_738041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
abstract_739031,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1
abstract_739477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_745662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_746047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract_754791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_757799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_758826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
abstract_760904,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1
abstract_768826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_770046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
abstract_770578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_780167,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,1
abstract_791841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
abstract_793798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
