record_id,abstract_id,simple_1,simple_2,simple_3,simple_4,simple_5,advanced_1,advanced_2,advanced_3,advanced_4,advanced_5,simple_1__source,simple_2__source,simple_3__source,simple_4__source,simple_5__source,advanced_1__source,advanced_2__source,advanced_3__source,advanced_4__source,advanced_5__source
abstract_7345,7345,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_8758,8758,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_12673,12673,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_20231,20231,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_24789,24789,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_26283,26283,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_30896,30896,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_32048,32048,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_55004,55004,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_55277,55277,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_56900,56900,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_57028,57028,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_57409,57409,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_61834,61834,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_62063,62063,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_62930,62930,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_75124,75124,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_75883,75883,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_76758,76758,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_77311,77311,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_81208,81208,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_83558,83558,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_85932,85932,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_86408,86408,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_93398,93398,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_100497,100497,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_102484,102484,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_105178,105178,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_105760,105760,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_107767,107767,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_110062,110062,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_112805,112805,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_124965,124965,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_125681,125681,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_125798,125798,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_126532,126532,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_131431,131431,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_139518,139518,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_145727,145727,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_152796,152796,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_155578,155578,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_158549,158549,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_161958,161958,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_166514,166514,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_178099,178099,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_179696,179696,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_179903,179903,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_187552,187552,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_188978,188978,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_189003,189003,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_194313,194313,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_196911,196911,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_197613,197613,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_203532,203532,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_206431,206431,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_206802,206802,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
abstract_209924,209924,,,,,,,,,,,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual,missing_manual
